"Lot Width ","Maximum Building Height ","Six Feet from Building Corner ",
"(feet) ","(feet) ","(feet) ",
"50 ","25 ","25.5 ",
"55 ","25.5 ","26 ",
"60 ","26 ","26.5 ",
"65 ","26.5 ","27 ",





Table: Table_2

"","Side Yard Setbacks Minimum Side Yard Setback ","Minimum Side Yard Setback ",
"Lot Width ","(one side yard) ","(other side yard) ",
"(feet) ","(feet) ","(feet) ",
"50 ","8 ","10 ",
"55 ","8 ","11 ",
"60 ","8 ","12 ",
"65 ","8.5 ","13 ",
"70 ","9 ","14 ",
"75 or greater ","10 ","15 ",





